LOG_NO,RACE,GENDER,BIRTH_YEAR
2019-0002106,"Hispanic, Latino, or Spanish origin",Male,1967
2019-0002110,Black or African American,Female,1968
2019-0002111,"Hispanic, Latino, or Spanish Origin",Female,1983
2019-0002112,Black or African American,Female,1968
2019-0002115,Black or African American,Male,1977
2019-0002116,Black or African American,Male,1971
2019-0002117,WHI,M,1979
2019-0002120,White,Male,1994
2019-0002121,White,Female,1980
2019-0002121,WHI,M,1978
2019-0002125,Black or African American,Female,1985
2019-0002129,Black or African American,Male,1973
2019-0002129,WHI,M,1971
2019-0002130,Black or African American,Male,1980
2019-0002135,White,Female,1961
2019-0002136,Black or African American,Male,1968
2019-0002138,Black or African American,Male,1991
2019-0002143,"Hispanic, Latino, or Spanish Origin",Female,1976
2019-0002143,"Hispanic, Latino, or Spanish Origin",Male,1985
2019-0002143,WHI,M,1969
2019-0002153,Black or African American,Female,1988
2019-0002163,"Hispanic, Latino, or Spanish Origin",Male,2002
2019-0002163,WHI,M,1969
2019-0002165,Black or African American,Female,1989
2019-0002168,Black or African American,Female,1966
2019-0002172,"Hispanic, Latino, or Spanish Origin",Male,1948
2019-0002174,Black or African American,Male,1989
2019-0002181,WHI,M,1972
2019-0002182,WHI,M,1968
2019-0002182,White,Female,1996
2019-0002183,Black or African American,Male,1969
2019-0002185,"Hispanic, Latino, or Spanish origin",Female,2000
2019-0002186,Black or African American,Male,1969
2019-0002186,WHI,M,1964
2019-0002187,BLK,M,1974
2019-0002187,NULL,Female,NULL
2019-0002189,WHI,M,1970
2019-0002191,WHI,M,1968
2019-0002192,WHI,M,1978
2019-0002193,WHI,M,1982
2019-0002193,Black or African American,Male,NULL
2019-0002196,WHI,M,1969
2019-0002201,WHI,F,1968
2019-0002201,Black or African American,Male,1966
2019-0002204,Black or African American,Female,1975
2019-0002207,Black or African American,Male,1960
2019-0002212,Black or African American,Male,1984
2019-0002214,"Hispanic, Latino, or Spanish origin",Female,1984
2019-0002215,BLK,M,1966
2019-0002216,WHI,M,1979
2019-0002216,NULL,NULL,NULL
2019-0002218,Black or African American,Female,1984
2019-0002226,White,Female,1966
2019-0002227,Black or African American,Male,1992
2019-0002227,WHI,M,1976
2019-0002231,"Hispanic, Latino, or Spanish Origin",Male,1997
2019-0002238,Black or African American,Male,1979
2019-0002240,NULL,NULL,NULL
2019-0002240,S,M,1982
2019-0002242,WHI,F,1977
2019-0002242,"Hispanic, Latino, or Spanish Origin",Female,1991
2019-0002243,Black or African American,Female,1947
2019-0002248,BLK,M,1959
2019-0002253,NULL,Male,2001
2019-0002257,White,Male,1985
2019-0002263,"Hispanic, Latino, or Spanish Origin",Male,1985
2019-0002263,S,M,1976
2019-0002265,Black or African American,Male,1995
2019-0002266,Black or African American,Female,1974
2019-0002267,"Hispanic, Latino, or Spanish Origin",Female,1977
2019-0002268,Black or African American,Female,1987
2019-0002273,NULL,NULL,NULL
2019-0002274,Asian,Female,NULL
2019-0002277,Black or African American,Female,1998
2019-0002278,WHI,M,1973
2019-0002280,"Hispanic, Latino, or Spanish Origin",Male,1990
2019-0002282,"Hispanic, Latino, or Spanish Origin",Male,1967
2019-0002283,Black or African American,Female,NULL
2019-0002284,Black or African American,Male,1987
2019-0002289,Black or African American,Male,1986
2019-0002289,WHI,M,1966
2019-0002296,WHI,M,1976
2019-0002296,NULL,NULL,NULL
2019-0002297,White,Female,1991
2019-0002297,WHI,F,1958
2019-0002299,Black or African American,Female,1995
2019-0002300,Black or African American,NULL,NULL
2019-0002300,WHI,M,1982
2019-0002305,BLK,F,1972
2019-0002305,NULL,Female,NULL
2019-0002305,NULL,Female,NULL
2019-0002305,NULL,Male,NULL
2019-0002306,BLK,F,1972
2019-0002307,BLK,F,1972
2019-0002308,BLK,F,1972
2019-0002313,Not listed,Female,1972
2019-0002315,"Hispanic, Latino, or Spanish origin",Male,1986
2019-0002316,WHI,M,1973
2019-0002317,WHI,F,1977
2019-0002318,WHI,M,1978
2019-0002319,Black or African American,Male,1991
2019-0002321,NULL,NULL,1992
2019-0002321,NULL,Female,1998
2019-0002321,WHI,M,1971
2019-0002322,WHI,M,1979
2019-0002324,Black or African American,Female,1987
2019-0002326,Black or African American,Female,1956
2019-0002329,White,Male,1993
2019-0002330,Black or African American,Female,1991
2019-0002331,Black or African American,Male,1988
2019-0002334,Black or African American,Male,1998
2019-0002340,WHI,M,1960
2019-0002341,Black or African American,Female,NULL
2019-0002341,Black or African American,Male,2000
2019-0002342,Black or African American,Male,1976
2019-0002350,White,Male,NULL
2019-0002351,White,Male,1989
2019-0002352,Black or African American,Male,1988
2019-0002356,NULL,NULL,NULL
2019-0002357,WHI,M,1970
2019-0002358,BLK,M,1969
2019-0002358,WHI,M,1975
2019-0002359,Black or African American,Female,1982
2019-0002366,Black or African American,Female,1982
2019-0002366,WHI,M,1978
2019-0002370,Black or African American,Male,1969
2019-0002371,"Hispanic, Latino, or Spanish origin",Female,1994
2019-0002373,WHI,M,1978
2019-0002375,Black or African American,Male,1981
2019-0002379,Black or African American,Male,1996
2019-0002381,"Hispanic, Latino, or Spanish Origin",Male,1991
2019-0002382,Black or African American,Male,1976
2019-0002383,NULL,NULL,NULL
2019-0002383,BLK,F,1982
2019-0002385,"Hispanic, Latino, or Spanish origin",Female,NULL
2019-0002386,WHI,M,1976
2019-0002388,Black or African American,Male,NULL
2019-0002389,NULL,Female,NULL
2019-0002394,Black or African American,Male,1985
2019-0002395,WHI,M,1980
2019-0002400,Black or African American,Male,1969
2019-0002401,WHI,F,1973
2019-0002401,WHI,M,1977
2019-0002403,NULL,Male,NULL
2019-0002404,WHI,F,1982
2019-0002405,WHI,M,1975
2019-0002406,WHI,M,1979
2019-0002409,Black or African American,Male,1988
2019-0002411,Black or African American,Male,1992
2019-0002411,Black or African American,Female,1999
2019-0002413,Black or African American,Male,1993
2019-0002413,Black or African American,Male,1995
2019-0002413,Black or African American,Male,1991
2019-0002413,BLK,M,1972
2019-0002418,Black or African American,Male,1993
2019-0002419,Black or African American,Male,1998
2019-0002419,WHI,M,1973
2019-0002421,WHI,M,1967
2019-0002422,WHI,M,1965
2019-0002424,Asian,Male,2019
2019-0002425,"Hispanic, Latino, or Spanish Origin",Female,1965
2019-0002425,WHI,M,1973
2019-0002426,WHI,M,1982
2019-0002434,"Hispanic, Latino, or Spanish Origin",Male,1995
2019-0002437,Black or African American,Male,1992
2019-0002437,BLK,F,1969
2019-0002445,Black or African American,Male,2003
2019-0002452,NULL,NULL,NULL
2019-0002455,NULL,NULL,NULL
2019-0002458,NULL,Female,1949
2019-0002461,Black or African American,Male,1984
2019-0002462,Black or African American,Male,1984
2019-0002466,Black or African American,Female,NULL
2019-0002466,NULL,NULL,NULL
2019-0002466,API,M,1980
2019-0002471,WHI,M,1967
2019-0002471,WHI,M,1964
2019-0002471,Black or African American,Male,NULL
2019-0002473,WHI,M,1982
2019-0002477,Asian,Male,2019
2019-0002478,WHI,M,1980
2019-0002479,"Hispanic, Latino, or Spanish origin",Male,1997
2019-0002480,Black or African American,Male,1975
2019-0002481,WHI,M,1983
2019-0002486,WHI,M,1969
2019-0002486,Black or African American,Male,1994
2019-0002489,Black or African American,Female,1990
2019-0002491,Black or African American,Male,1964
2019-0002500,Black or African American,Female,1992
2019-0002501,Black or African American,Male,1978
2019-0002503,NULL,NULL,NULL
2019-0002510,Black or African American,Male,1988
2019-0002511,"Some Other Race, Ethnicity, or Origin",Female,1997
2019-0002512,"Hispanic, Latino, or Spanish Origin",Male,1976
2019-0002512,WHI,M,1979
2019-0002513,Black or African American,Female,1983
2019-0002515,WHI,F,1975
2019-0002519,WHI,M,1975
2019-0002519,Black or African American,Female,1992
2019-0002522,White,Female,1999
2019-0002523,Black or African American,Female,1998
2019-0002525,NULL,NULL,NULL
2019-0002526,NULL,NULL,NULL
2019-0002528,Black or African American,Female,1949
2019-0002529,WHI,M,1978
2019-0002536,Black or African American,Female,1960
2019-0002541,Black or African American,Female,1989
2019-0002547,Black or African American,Male,1968
2019-0002550,BLK,M,1969
2019-0002552,Black or African American,Female,1988
2019-0002554,NULL,NULL,NULL
2019-0002558,Black or African American,Female,1992
2019-0002559,NULL,NULL,NULL
2019-0002560,Black or African American,Female,1989
2019-0002567,Black or African American,Male,1995
2019-0002569,White,NULL,NULL
2019-0002570,Black or African American,Female,1981
2019-0002574,NULL,Female,1996
2019-0002576,Not listed,Female,1986
2019-0002580,Asian,Female,1979
2019-0002581,NULL,NULL,NULL
2019-0002582,NULL,NULL,NULL
2019-0002585,NULL,NULL,NULL
2019-0002586,Black or African American,Male,1972
2019-0002587,Black or African American,Female,1983
2019-0002590,Black or African American,Male,1988
2019-0002595,Black or African American,Male,NULL
2019-0002600,NULL,NULL,NULL
2019-0002605,S,M,1963
2019-0002609,White,Female,1995
2019-0002612,Black or African American,Male,1969
2019-0002614,Black or African American,Male,2001
2019-0002615,Black or African American,Male,1994
2019-0002618,Black or African American,Male,NULL
2019-0002619,Black or African American,Female,1986
2019-0002620,Black or African American,Female,1989
2019-0002622,Black or African American,Female,1986
2019-0002624,BLK,F,1957
2019-0002625,NULL,Female,1968
2019-0002626,NULL,NULL,NULL
2019-0002626,WHI,F,1975
2019-0002628,Black or African American,Male,1964
2019-0002629,Black or African American,Male,1995
2019-0002631,Black or African American,Male,1989
2019-0002635,White,Male,1978
2019-0002639,White,Female,NULL
2019-0002640,Black or African American,Male,1972
2019-0002641,Black or African American,Female,1995
2019-0002649,WHI,M,1975
2019-0002659,Black or African American,Male,1962
2019-0002661,Black or African American,Male,1983
2019-0002664,Black or African American,NULL,1965
2019-0002665,Black or African American,Male,1991
2019-0002671,WHI,F,1966
2019-0002673,NULL,NULL,NULL
2019-0002676,Black or African American,Male,1979
2019-0002679,NULL,NULL,NULL
2019-0002683,White,Male,1980
2019-0002685,Black or African American,Male,1980
2019-0002687,Black or African American,Male,2000
2019-0002689,White,Male,1973
2019-0002690,Black or African American,Female,1965
2019-0002693,Black or African American,Female,1982
2019-0002693,Black or African American,Male,1979
2019-0002694,WHI,M,1974
2019-0002695,Black or African American,NULL,1962
2019-0002700,NULL,NULL,NULL
2019-0002701,Black or African American,Male,1992
2019-0002702,Black or African American,Female,1980
2019-0002706,Black or African American,Female,1981
2019-0002706,Black or African American,Male,1975
2019-0002709,Black or African American,Male,1989
2019-0002710,WHI,M,1977
2019-0002711,Black or African American,Female,1951
2019-0002717,Black or African American,Male,1989
2019-0002719,White,Female,1977
2019-0002719,White,Female,1985
2019-0002722,WHI,F,NULL
2019-0002723,WHI,F,NULL
2019-0002723,Black or African American,NULL,NULL
2019-0002724,Black or African American,Female,1985
2019-0002724,WHI,M,1970
2019-0002726,Black or African American,Female,1977
2019-0002728,Black or African American,Male,1994
2019-0002729,White,Female,1969
2019-0002732,Black or African American,Male,1994
2019-0002732,WHI,M,1975
2019-0002733,Black or African American,Male,2019
2019-0002740,"Hispanic, Latino, or Spanish origin",Female,1992
2019-0002744,"Some Other Race, Ethnicity, or Origin",Female,1988
2019-0002744,Black or African American,Male,1992
2019-0002749,Black or African American,Female,NULL
2019-0002749,WHI,M,1972
2019-0002750,BLK,M,1968
2019-0002750,"Hispanic, Latino, or Spanish Origin",Male,1971
2019-0002752,NULL,NULL,NULL
2019-0002753,White,Male,NULL
2019-0002761,Black or African American,Male,1984
2019-0002762,WHI,M,1977
2019-0002766,White,Male,2019
2019-0002767,White,Male,2019
2019-0002768,White,Female,1994
2019-0002770,Not listed,Male,1959
2019-0002771,Black or African American,Female,2019
2019-0002776,Black or African American,Female,1976
2019-0002778,Black or African American,Male,1999
2019-0002779,Black or African American,Female,1989
2019-0002782,NULL,NULL,NULL
2019-0002784,Black or African American,Female,1985
2019-0002789,Black or African American,Male,1965
2019-0002790,Black or African American,Female,NULL
2019-0002790,WHI,M,1977
2019-0002796,White,Female,1970
2019-0002797,WHI,M,1965
2019-0002800,Black or African American,Male,1989
2019-0002805,Black or African American,Male,1985
2019-0002806,Not listed,Prefer not to say,1984
2019-0002807,Black or African American,Female,NULL
2019-0002807,S,M,1981
2019-0002808,"Hispanic, Latino, or Spanish Origin",Male,1992
2019-0002811,White,Male,1951
2019-0002820,Black or African American,Female,1984
2019-0002824,"Hispanic, Latino, or Spanish Origin",Male,1973
2019-0002831,White,Male,2019
2019-0002833,NULL,Male,NULL
2019-0002833,I,M,1970
2019-0002834,NULL,NULL,1963
2019-0002836,NULL,NULL,NULL
2019-0002836,WHI,M,1970
2019-0002837,Black or African American,Female,1970
2019-0002844,Black or African American,Male,1979
2019-0002848,Black or African American,Male,1981
2019-0002852,Black or African American,Female,1973
2019-0002862,Black or African American,Female,1997
2019-0002862,Black or African American,Male,NULL
2019-0002862,WHI,M,1966
2019-0002864,WHI,M,1977
2019-0002864,NULL,Female,1980
2019-0002866,Black or African American,Female,1973
2019-0002868,WHI,M,1971
2019-0002872,WHI,M,1974
2019-0002872,"Hispanic, Latino, or Spanish Origin",NULL,NULL
2019-0002873,WHI,M,1979
2019-0002874,White,Male,1980
2019-0002878,"Hispanic, Latino, or Spanish origin",Male,1975
2019-0002880,WHI,F,1972
2019-0002881,WHI,M,1976
2019-0002881,Black or African American,Female,1987
2019-0002881,Black or African American,Male,1980
2019-0002884,Black or African American,Male,1962
2019-0002884,S,M,1979
2019-0002888,Black or African American,Male,1971
2019-0002893,NULL,Female,1959
2019-0002893,NULL,Male,1957
2019-0002894,Black or African American,Female,1981
2019-0002896,NULL,NULL,NULL
2019-0002898,Asian,Male,1979
2019-0002902,White,Male,1980
2019-0002906,Black or African American,Female,1982
2019-0002909,NULL,Female,1996
2019-0002910,"Hispanic, Latino, or Spanish origin",Male,NULL
2019-0002911,NULL,Female,1982
2019-0002911,NULL,NULL,1985
2019-0002911,WHI,M,1975
2019-0002912,"Hispanic, Latino, or Spanish Origin",Female,1983
2019-0002914,Black or African American,Female,1998
2019-0002915,BLK,F,1969
2019-0002916,Black or African American,Male,1977
2019-0002919,Black or African American,Male,1981
2019-0002921,Black or African American,Male,1969
2019-0002924,Black or African American,Female,NULL
2019-0002933,Black or African American,Female,NULL
2019-0002934,Black or African American,Female,1970
2019-0002942,Black or African American,Male,1984
2019-0002943,Black or African American,Male,1986
2019-0002944,Black or African American,Male,1988
2019-0002950,NULL,Male,NULL
2019-0002952,NULL,NULL,NULL
2019-0002958,NULL,Male,NULL
2019-0002962,NULL,NULL,NULL
2019-0002964,Black or African American,Male,1987
2019-0002965,Black or African American,Male,1998
2019-0002967,Black or African American,Female,1985
2019-0002967,WHI,M,1975
2019-0002968,NULL,Female,NULL
2019-0002969,Black or African American,Male,1980
2019-0002971,Black or African American,Female,1986
2019-0002971,Black or African American,Male,2004
2019-0002972,Black or African American,Male,1981
2019-0002973,Black or African American,Female,1992
2019-0002973,Black or African American,Male,1990
2019-0002973,BLK,F,1969
2019-0002977,White,Female,2019
2019-0002981,Black or African American,Male,1981
2019-0002983,Black or African American,Female,NULL
2019-0002984,Black or African American,Female,1984
2019-0002984,Black or African American,Male,2004
2019-0002988,Black or African American,Female,2000
2019-0002988,WHI,M,1981
2019-0002992,Black or African American,Male,2000
2019-0002994,NULL,NULL,NULL
2019-0002994,WHI,M,1983
2019-0002997,Black or African American,Male,1970
2019-0002999,White,Female,1980
2019-0003000,NULL,NULL,NULL
2019-0003004,Black or African American,NULL,NULL
2019-0003004,WHI,M,1970
2019-0003008,Not listed,Female,1991
2019-0003010,Asian,Male,2019
2019-0003015,Black or African American,Male,1982
2019-0003015,WHI,M,1977
2019-0003017,Asian,Male,2019
2019-0003018,WHI,F,1978
2019-0003019,NULL,NULL,NULL
2019-0003020,Black or African American,Male,NULL
2019-0003020,Black or African American,Male,1995
2019-0003020,WHI,M,1967
2019-0003022,Black or African American,NULL,NULL
2019-0003024,Black or African American,Female,1959
2019-0003025,Black or African American,Male,1964
2019-0003029,Black or African American,Male,1994
2019-0003030,"Hispanic, Latino, or Spanish Origin",NULL,1998
2019-0003030,Black or African American,Male,2002
2019-0003032,Black or African American,Male,1972
2019-0003034,Black or African American,Male,1995
2019-0003036,White,Male,2019
2019-0003037,Black or African American,Male,1985
2019-0003039,Black or African American,Male,1969
2019-0003042,Black or African American,Male,1985
2019-0003046,Black or African American,Female,1978
2019-0003050,Black or African American,Male,1974
2019-0003052,Black or African American,Male,1979
2019-0003055,"Hispanic, Latino, or Spanish Origin",Female,1976
2019-0003055,"Hispanic, Latino, or Spanish Origin",Male,1984
2019-0003056,Black or African American,Male,1961
2019-0003057,Black or African American,Male,1988
2019-0003058,Black or African American,Male,1964
2019-0003059,Black or African American,Male,1994
2019-0003060,Black or African American,Female,1984
2019-0003064,S,M,1963
2019-0003066,NULL,NULL,NULL
2019-0003067,NULL,NULL,NULL
2019-0003070,NULL,NULL,NULL
2019-0003071,NULL,NULL,NULL
2019-0003072,NULL,NULL,NULL
2019-0003073,NULL,NULL,NULL
2019-0003074,NULL,NULL,NULL
2019-0003075,NULL,NULL,NULL
2019-0003076,NULL,NULL,NULL
2019-0003077,NULL,NULL,NULL
2019-0003079,NULL,Male,1983
2019-0003081,Black or African American,Male,1969
2019-0003085,Black or African American,Male,1992
2019-0003086,"Hispanic, Latino, or Spanish Origin",Male,1992
2019-0003092,Black or African American,Male,1984
2019-0003093,BLK,M,1972
2019-0003095,WHI,M,1960
2019-0003095,Black or African American,Male,1998
2019-0003096,BLK,F,1963
2019-0003097,Black or African American,Male,1998
2019-0003098,Not listed,Male,1990
2019-0003099,Black or African American,Male,1991
2019-0003099,Black or African American,Female,1997
2019-0003099,BLK,F,1971
2019-0003101,"Hispanic, Latino, or Spanish Origin",Female,2001
2019-0003103,Black or African American,Male,1998
2019-0003104,WHI,F,1966
2019-0003114,White,Male,NULL
2019-0003116,"Hispanic, Latino, or Spanish Origin",Female,1995
2019-0003117,Black or African American,Female,1984
2019-0003123,White,Male,1982
2019-0003124,White,Male,1974
2019-0003125,White,Male,1995
2019-0003130,Black or African American,Female,1976
2019-0003132,"Hispanic, Latino, or Spanish Origin",Female,NULL
2019-0003132,S,M,1963
2019-0003134,Black or African American,Male,1982
2019-0003136,White,Female,1955
2019-0003144,Not listed,Male,1988
2019-0003146,Black or African American,Male,1989
2019-0003146,BLK,M,1972
2019-0003147,S,M,1982
2019-0003147,Black or African American,Male,1970
2019-0003150,NULL,NULL,NULL
2019-0003152,Black or African American,Male,1961
2019-0003152,WHI,M,1964
2019-0003153,WHI,F,1976
2019-0003154,WHI,M,1965
2019-0003155,Black or African American,Male,1996
2019-0003157,Not listed,Male,1988
2019-0003170,Black or African American,Male,1980
2019-0003172,Black or African American,Male,1984
2019-0003173,Black or African American,Male,1964
2019-0003174,Black or African American,Female,1980
2019-0003174,Black or African American,Male,2002
2019-0003178,Black or African American,Male,1984
2019-0003179,Not listed,Female,1985
2019-0003180,Black or African American,Male,1986
2019-0003181,Black or African American,Female,1969
2019-0003186,Black or African American,Female,1992
2019-0003190,Black or African American,Male,1998
2019-0003193,Black or African American,Female,1964
2019-0003194,NULL,Female,NULL
2019-0003197,NULL,NULL,NULL
2019-0003201,Black or African American,Male,1996
2019-0003202,Black or African American,Female,1992
2019-0003202,Black or African American,Female,1934
2019-0003206,WHI,M,1979
2019-0003207,Black or African American,Female,1990
2019-0003208,Black or African American,Female,1990
2019-0003209,WHI,M,1969
2019-0003212,Black or African American,Female,1983
2019-0003213,Black or African American,Male,1979
2019-0003220,NULL,NULL,NULL
2019-0003225,Black or African American,Male,NULL
2019-0003225,WHI,M,1981
2019-0003227,Black or African American,Prefer not to say,1977
2019-0003229,Black or African American,Female,1974
2019-0003230,Black or African American,Male,1992
2019-0003232,NULL,NULL,1986
2019-0003233,White,Female,2019
2019-0003235,"Hispanic, Latino, or Spanish origin",Female,NULL
2019-0003236,Black or African American,Male,2019
2019-0003237,Black or African American,Female,1985
2019-0003238,Not listed,Female,2019
2019-0003239,Not listed,Female,1936
2019-0003240,NULL,NULL,1975
2019-0003244,NULL,NULL,NULL
2019-0003246,Native Hawaiian or Other Pacific Islander,Female,1981
2019-0003247,White,Male,1995
2019-0003248,Black or African American,Female,1971
2019-0003253,Black or African American,Female,1974
2019-0003262,WHI,M,1969
2019-0003263,Black or African American,Female,1996
2019-0003265,Black or African American,Female,1991
2019-0003272,WHI,M,1977
2019-0003273,WHI,M,1965
2019-0003283,Black or African American,Male,2001
2019-0003290,Black or African American,Female,1977
2019-0003290,Black or African American,Male,1996
2019-0003290,WHI,M,1979
2019-0003295,WHI,M,1960
2019-0003295,Black or African American,Male,1993
2019-0003297,Black or African American,Male,1998
2019-0003297,BLK,F,1982
2019-0003300,WHI,M,1981
2019-0003300,NULL,Female,1999
2019-0003300,NULL,NULL,1988
2019-0003301,Black or African American,Female,NULL
2019-0003301,WHI,M,1978
2019-0003310,Black or African American,Male,1994
2019-0003310,Black or African American,Male,1993
2019-0003311,Black or African American,Male,1994
2019-0003311,WHI,M,1970
2019-0003313,Black or African American,Female,1984
2019-0003314,Middle Eastern or North African,Female,1996
2019-0003316,Black or African American,Female,1984
2019-0003317,Black or African American,Male,1973
2019-0003318,Black or African American,Male,1987
2019-0003325,Black or African American,Male,1983
2019-0003326,BLK,M,1972
2019-0003328,BLK,M,1972
2019-0003328,Black or African American,Female,1985
2019-0003329,Black or African American,Male,1974
2019-0003331,Black or African American,Male,1989
2019-0003333,Asian,Male,1994
2019-0003335,NULL,NULL,1973
2019-0003339,Middle Eastern or North African,Male,1992
2019-0003345,S,F,1980
2019-0003350,Black or African American,Male,1986
2019-0003354,S,F,1976
2019-0003356,Black or African American,Male,NULL
2019-0003359,"Hispanic, Latino, or Spanish Origin",Male,1972
2019-0003360,Black or African American,Female,1999
2019-0003360,WHI,M,1982
2019-0003363,WHI,F,1978
2019-0003364,WHI,M,1967
2019-0003365,WHI,M,1969
2019-0003368,Black or African American,Male,1979
2019-0003370,NULL,NULL,NULL
2019-0003377,Black or African American,Male,1991
2019-0003383,"Hispanic, Latino, or Spanish Origin",Male,1979
2019-0003385,NULL,Female,1976
2019-0003385,NULL,NULL,2007
2019-0003385,WHI,M,1969
2019-0003386,Black or African American,Male,1976
2019-0003387,NULL,NULL,NULL
2019-0003391,WHI,M,1970
2019-0003399,Black or African American,Male,1975
2019-0003402,"Hispanic, Latino, or Spanish Origin",NULL,2000
2019-0003402,"Hispanic, Latino, or Spanish Origin",Female,1973
2019-0003402,WHI,M,1966
2019-0003403,WHI,M,1969
2019-0003409,WHI,M,1975
2019-0003409,Black or African American,Male,1985
2019-0003413,Black or African American,Male,1980
2019-0003413,S,M,1977
2019-0003415,BLK,F,1971
2019-0003415,NULL,NULL,1985
2019-0003419,Black or African American,Female,1980
2019-0003420,BLK,M,1964
2019-0003433,Black or African American,Male,1970
2019-0003434,Black or African American,Male,1996
2019-0003438,"Hispanic, Latino, or Spanish Origin",NULL,NULL
2019-0003438,White,Female,2007
2019-0003438,WHI,M,1974
2019-0003440,BLK,M,1983
2019-0003442,Black or African American,Male,1984
2019-0003442,Black or African American,Male,1964
2019-0003445,NULL,Female,1984
2019-0003447,Black or African American,Male,1957
2019-0003452,White,Male,1982
2019-0003457,"Hispanic, Latino, or Spanish Origin",Male,1980
2019-0003460,Black or African American,Male,1997
2019-0003463,Black or African American,Male,1976
2019-0003463,WHI,M,1969
2019-0003464,Black or African American,Male,1976
2019-0003465,Black or African American,Male,NULL
2019-0003466,NULL,Male,1982
2019-0003473,NULL,NULL,NULL
2019-0003474,Black or African American,Female,1954
2019-0003478,American Indian or Alaska Native,Female,1984
2019-0003479,American Indian or Alaska Native,Female,1984
2019-0003482,White,Prefer not to say,NULL
2019-0003483,Black or African American,Male,1993
2019-0003484,Native Hawaiian or Other Pacific Islander,Female,1984
2019-0003486,Black or African American,Male,1966
2019-0003487,White,Male,1985
2019-0003489,NULL,NULL,NULL
2019-0003492,NULL,NULL,NULL
2019-0003493,NULL,NULL,NULL
2019-0003494,NULL,Male,NULL
2019-0003495,Black or African American,Male,1972
2019-0003497,Black or African American,Male,1975
2019-0003499,White,Male,NULL
2019-0003500,Black or African American,Male,1990
2019-0003502,NULL,NULL,NULL
2019-0003507,S,M,1979
2019-0003507,White,Female,1987
2019-0003509,Black or African American,Female,1987
2019-0003513,Black or African American,Male,1992
2019-0003517,NULL,NULL,NULL
2019-0003518,Black or African American,Male,1985
2019-0003519,Black or African American,Male,1954
2019-0003527,Black or African American,Female,1988
2019-0003527,WHI,M,1965
2019-0003531,BLK,F,1969
2019-0003533,WHI,M,1979
2019-0003533,"Hispanic, Latino, or Spanish Origin",Male,1989
2019-0003534,Black or African American,Female,1985
2019-0003534,WHI,M,NULL
2019-0003539,WHI,M,1982
2019-0003539,Black or African American,Male,2003
2019-0003542,Asian,Male,2019
2019-0003545,Asian,Male,2019
2019-0003547,Black or African American,Male,1970
2019-0003548,Black or African American,Female,NULL
2019-0003548,Black or African American,Male,1980
2019-0003555,Black or African American,Male,1963
2019-0003556,Black or African American,Male,1975
2019-0003559,Black or African American,Male,1978
2019-0003559,"Hispanic, Latino, or Spanish Origin",Male,1986
2019-0003560,"Hispanic, Latino, or Spanish origin",Female,1983
2019-0003561,Black or African American,Male,1981
2019-0003562,Black or African American,Male,1988
2019-0003562,WHI,M,1979
2019-0003568,Black or African American,Female,1982
2019-0003569,Black or African American,Male,1986
2019-0003571,Black or African American,Male,1997
2019-0003574,White,Male,1986
2019-0003574,"Hispanic, Latino, or Spanish Origin",Female,1993
2019-0003581,Black or African American,Male,1975
2019-0003582,Black or African American,Male,1992
2019-0003586,Asian,Male,1999
2019-0003590,Black or African American,Male,1976
2019-0003592,White,Male,1995
2019-0003593,WHI,M,1975
2019-0003595,WHI,M,1972
2019-0003595,Black or African American,Female,1977
2019-0003600,Black or African American,Female,1974
2019-0003600,Black or African American,Male,1998
2019-0003601,"Hispanic, Latino, or Spanish Origin",Female,1989
2019-0003603,Black or African American,Male,1959
2019-0003610,Black or African American,Male,2019
2019-0003615,White,Male,1977
2019-0003621,WHI,F,1973
2019-0003622,Black or African American,Female,1986
2019-0003624,Black or African American,Male,1981
2019-0003630,NULL,Female,1982
2019-0003631,WHI,M,1978
2019-0003634,NULL,NULL,NULL
2019-0003636,Black or African American,Male,1983
2019-0003641,Black or African American,Male,1975
2019-0003642,NULL,NULL,NULL
2019-0003643,Black or African American,Non-Binary / Third Gender,1984
2019-0003643,Black or African American,Female,1981
2019-0003644,Black or African American,Female,NULL
2019-0003644,BLK,M,1972
2019-0003648,Black or African American,Male,1992
2019-0003650,NULL,Female,1999
2019-0003653,Black or African American,Male,1983
2019-0003654,Black or African American,NULL,1987
2019-0003657,"Hispanic, Latino, or Spanish Origin",Male,1993
2019-0003657,WHI,M,1967
2019-0003658,Black or African American,Female,2000
2019-0003659,White,Male,1969
2019-0003662,NULL,NULL,NULL
2019-0003662,NULL,NULL,NULL
2019-0003665,Black or African American,Male,1994
2019-0003665,Black or African American,Female,1996
2019-0003665,BLK,F,1969
2019-0003667,NULL,NULL,NULL
2019-0003669,White,Male,1989
2019-0003670,Black or African American,Male,1964
2019-0003671,Black or African American,Male,1995
2019-0003673,WHI,M,1978
2019-0003674,Black or African American,Female,1978
2019-0003678,Black or African American,Male,1998
2019-0003679,White,Female,1992
2019-0003689,NULL,NULL,NULL
2019-0003691,Black or African American,Male,1999
2019-0003694,NULL,NULL,NULL
2019-0003696,Black or African American,Male,1960
2019-0003702,S,M,1970
2019-0003706,WHI,M,1969
2019-0003708,WHI,M,1965
2019-0003710,WHI,M,1974
2019-0003710,Black or African American,Male,1989
2019-0003716,Black or African American,Female,NULL
2019-0003716,WHI,M,1984
2019-0003718,WHI,M,1978
2019-0003718,White,NULL,NULL
2019-0003719,NULL,NULL,NULL
2019-0003719,BLK,M,1960
2019-0003720,WHI,M,1968
