LOG_NO,RACE,GENDER,BIRTH_YEAR,AGE
2019-0001864,NULL,NULL,NULL,NULL
2019-0001865,Black or African American,Female,NULL,NULL
2019-0001866,Black or African American,Male,1977,42
2019-0001868,NULL,NULL,NULL,NULL
2019-0001874,NULL,NULL,NULL,NULL
2019-0001876,NULL,NULL,NULL,NULL
2019-0001879,NULL,NULL,NULL,NULL
2019-0001893,NULL,NULL,NULL,NULL
2019-0001894,NULL,NULL,NULL,NULL
2019-0001895,NULL,NULL,NULL,NULL
2019-0001898,Black or African American,Female,1984,35
2019-0001900,Black or African American,NULL,NULL,NULL
2019-0001903,NULL,NULL,NULL,NULL
2019-0001906,Black or African American,Male,NULL,NULL
2019-0001906,Black or African American,Male,NULL,NULL
2019-0001907,NULL,NULL,NULL,NULL
2019-0001908,NULL,NULL,NULL,NULL
2019-0001916,NULL,NULL,NULL,NULL
2019-0001918,NULL,NULL,NULL,NULL
2019-0001923,NULL,NULL,NULL,NULL
2019-0001924,NULL,NULL,NULL,NULL
2019-0001929,NULL,NULL,NULL,NULL
2019-0001932,NULL,NULL,NULL,NULL
2019-0001934,NULL,NULL,NULL,NULL
2019-0001935,NULL,NULL,NULL,NULL
2019-0001940,NULL,NULL,NULL,NULL
2019-0001941,NULL,NULL,NULL,NULL
2019-0001942,NULL,NULL,NULL,NULL
2019-0001943,NULL,NULL,NULL,NULL
2019-0001945,Black or African American,Female,NULL,NULL
2019-0001948,NULL,NULL,NULL,NULL
2019-0001951,NULL,NULL,NULL,NULL
2019-0001955,NULL,NULL,NULL,NULL
2019-0001956,NULL,NULL,NULL,NULL
2019-0001957,NULL,NULL,NULL,NULL
2019-0001958,NULL,NULL,NULL,NULL
2019-0001960,NULL,NULL,NULL,NULL
2019-0001961,NULL,NULL,NULL,NULL
2019-0001962,NULL,NULL,NULL,NULL
2019-0001963,NULL,NULL,NULL,NULL
2019-0001964,NULL,NULL,NULL,NULL
2019-0001965,NULL,NULL,NULL,NULL
2019-0001967,NULL,Female,NULL,NULL
2019-0001969,Black or African American,Male,1982,37
2019-0001969,NULL,NULL,NULL,NULL
2019-0001970,NULL,NULL,NULL,NULL
2019-0001973,"Hispanic, Latino, or Spanish Origin",Male,NULL,NULL
2019-0001977,NULL,NULL,NULL,NULL
2019-0001979,NULL,NULL,NULL,NULL
2019-0001980,NULL,NULL,NULL,NULL
2019-0001981,NULL,NULL,NULL,NULL
2019-0001982,NULL,NULL,NULL,NULL
2019-0001983,NULL,NULL,NULL,NULL
2019-0001984,NULL,NULL,NULL,NULL
2019-0001986,NULL,NULL,NULL,NULL
2019-0001987,NULL,NULL,NULL,NULL
2019-0001988,NULL,NULL,NULL,NULL
2019-0001989,NULL,NULL,NULL,NULL
2019-0001990,NULL,NULL,NULL,NULL
2019-0001991,NULL,NULL,NULL,NULL
2019-0001992,NULL,NULL,NULL,NULL
2019-0001993,Black or African American,Female,1957,62
2019-0001993,Black or African American,Female,1993,26
2019-0001994,NULL,NULL,NULL,NULL
2019-0001995,NULL,NULL,NULL,NULL
2019-0001997,NULL,NULL,NULL,NULL
2019-0001998,NULL,NULL,NULL,NULL
2019-0001999,NULL,NULL,NULL,NULL
2019-0002000,NULL,NULL,NULL,NULL
2019-0002003,NULL,NULL,NULL,NULL
2019-0002004,NULL,NULL,NULL,NULL
2019-0002011,NULL,NULL,NULL,NULL
2019-0002015,NULL,NULL,NULL,NULL
2019-0002017,NULL,Female,1991,28
2019-0002019,NULL,NULL,NULL,NULL
2019-0002020,White,Female,1989,30
2019-0002020,White,Female,1989,30
2019-0002021,NULL,NULL,NULL,NULL
2019-0002022,NULL,NULL,NULL,NULL
2019-0002033,NULL,NULL,NULL,NULL
2019-0002034,NULL,NULL,NULL,NULL
2019-0002039,NULL,NULL,NULL,NULL
2019-0002042,Black or African American,Female,1990,29
2019-0002047,NULL,NULL,NULL,NULL
2019-0002048,NULL,NULL,NULL,NULL
2019-0002049,NULL,NULL,NULL,NULL
2019-0002052,NULL,NULL,NULL,NULL
2019-0002058,NULL,NULL,NULL,NULL
2019-0002060,NULL,Female,1981,38
2019-0002060,NULL,Female,2000,19
2019-0002060,NULL,NULL,2002,17
2019-0002061,NULL,NULL,NULL,NULL
2019-0002062,NULL,NULL,NULL,NULL
2019-0002063,NULL,NULL,NULL,NULL
2019-0002075,NULL,NULL,NULL,NULL
2019-0002078,"Hispanic, Latino, or Spanish Origin",Female,NULL,NULL
2019-0002078,"Hispanic, Latino, or Spanish Origin",Male,NULL,NULL
2019-0002079,NULL,NULL,NULL,NULL
2019-0002081,NULL,NULL,NULL,NULL
2019-0002089,NULL,NULL,NULL,NULL
2019-0002092,NULL,NULL,NULL,NULL
2019-0002095,NULL,NULL,NULL,NULL
2019-0002097,White,Male,NULL,NULL
2019-0002099,NULL,NULL,NULL,NULL
2019-0002101,NULL,NULL,NULL,NULL
2019-0002104,NULL,NULL,NULL,NULL
2019-0002105,NULL,NULL,NULL,NULL
2019-0002106,White,Male,NULL,NULL
2019-0002110,NULL,NULL,NULL,NULL
2019-0002111,NULL,NULL,NULL,NULL
2019-0002112,NULL,NULL,NULL,NULL
2019-0002115,NULL,NULL,NULL,NULL
2019-0002116,NULL,NULL,NULL,NULL
2019-0002117,NULL,NULL,NULL,NULL
2019-0002120,NULL,NULL,NULL,NULL
2019-0002121,White,NULL,NULL,NULL
2019-0002125,NULL,NULL,NULL,NULL
2019-0002129,NULL,NULL,NULL,NULL
2019-0002130,NULL,NULL,NULL,NULL
2019-0002135,NULL,NULL,NULL,NULL
2019-0002136,NULL,NULL,NULL,NULL
2019-0002138,NULL,NULL,NULL,NULL
2019-0002143,NULL,NULL,NULL,NULL
2019-0002153,NULL,NULL,NULL,NULL
2019-0002163,NULL,NULL,NULL,NULL
2019-0002165,NULL,NULL,NULL,NULL
2019-0002168,NULL,NULL,NULL,NULL
2019-0002172,NULL,NULL,NULL,NULL
2019-0002174,NULL,NULL,NULL,NULL
2019-0002181,NULL,NULL,NULL,NULL
2019-0002182,NULL,NULL,NULL,NULL
2019-0002183,NULL,NULL,NULL,NULL
2019-0002185,NULL,NULL,NULL,NULL
2019-0002186,Black or African American,Male,NULL,NULL
2019-0002187,NULL,NULL,NULL,NULL
2019-0002189,"Hispanic, Latino, or Spanish Origin",Female,1991,28
2019-0002191,"Hispanic, Latino, or Spanish Origin",Female,1983,36
2019-0002192,NULL,NULL,NULL,NULL
2019-0002193,NULL,NULL,NULL,NULL
2019-0002196,NULL,NULL,NULL,NULL
2019-0002201,NULL,NULL,NULL,NULL
2019-0002204,Black or African American,Male,1994,25
2019-0002207,NULL,NULL,NULL,NULL
2019-0002212,Black or African American,Male,NULL,NULL
2019-0002212,Black or African American,Male,1993,26
2019-0002214,NULL,NULL,NULL,NULL
2019-0002215,NULL,NULL,NULL,NULL
2019-0002215,White,Female,1988,31
2019-0002215,Asian,Female,1970,49
2019-0002216,NULL,NULL,NULL,NULL
2019-0002218,NULL,NULL,NULL,NULL
2019-0002226,NULL,NULL,NULL,NULL
2019-0002227,NULL,NULL,NULL,NULL
2019-0002231,NULL,NULL,NULL,NULL
2019-0002238,Black or African American,Male,1970,49
2019-0002240,NULL,NULL,NULL,NULL
2019-0002242,NULL,NULL,NULL,NULL
2019-0002243,NULL,NULL,NULL,NULL
2019-0002248,"Hispanic, Latino, or Spanish Origin",Female,NULL,NULL
2019-0002253,NULL,NULL,NULL,NULL
2019-0002257,NULL,NULL,NULL,NULL
2019-0002263,NULL,NULL,1989,30
2019-0002265,NULL,NULL,NULL,NULL
2019-0002266,NULL,NULL,NULL,NULL
2019-0002267,NULL,NULL,NULL,NULL
2019-0002268,NULL,NULL,NULL,NULL
2019-0002273,NULL,NULL,NULL,NULL
2019-0002274,NULL,NULL,NULL,NULL
2019-0002277,NULL,NULL,NULL,NULL
2019-0002278,NULL,NULL,NULL,NULL
2019-0002280,NULL,NULL,NULL,NULL
2019-0002282,NULL,NULL,NULL,NULL
2019-0002283,NULL,NULL,NULL,NULL
2019-0002284,Black or African American,Male,1988,31
2019-0002289,NULL,NULL,NULL,NULL
2019-0002296,NULL,NULL,NULL,NULL
2019-0002297,NULL,NULL,NULL,NULL
2019-0002299,NULL,NULL,NULL,NULL
2019-0002300,NULL,NULL,NULL,NULL
2019-0002305,NULL,Female,NULL,NULL
2019-0002306,NULL,NULL,NULL,NULL
2019-0002307,NULL,NULL,NULL,NULL
2019-0002308,NULL,NULL,NULL,NULL
2019-0002313,NULL,NULL,NULL,NULL
2019-0002315,"Hispanic, Latino, or Spanish origin",Female,1985,34
2019-0002316,NULL,NULL,NULL,NULL
2019-0002317,NULL,NULL,NULL,NULL
2019-0002318,NULL,NULL,NULL,NULL
2019-0002319,NULL,NULL,NULL,NULL
2019-0002321,"Hispanic, Latino, or Spanish Origin",Male,1979,40
2019-0002322,White,Male,1972,47
2019-0002322,Black or African American,Male,1974,45
2019-0002324,NULL,NULL,NULL,NULL
2019-0002326,NULL,Female,NULL,NULL
2019-0002329,NULL,NULL,NULL,NULL
2019-0002330,NULL,NULL,NULL,NULL
2019-0002331,NULL,NULL,NULL,NULL
2019-0002334,NULL,NULL,NULL,NULL
2019-0002340,Black or African American,Female,1966,53
2019-0002341,NULL,NULL,NULL,NULL
2019-0002342,NULL,NULL,NULL,NULL
2019-0002350,NULL,NULL,NULL,NULL
2019-0002351,White,Male,1989,30
2019-0002352,NULL,NULL,NULL,NULL
2019-0002356,NULL,NULL,NULL,NULL
2019-0002357,"Hispanic, Latino, or Spanish Origin",Female,NULL,NULL
2019-0002358,NULL,NULL,NULL,NULL
2019-0002359,NULL,NULL,NULL,NULL
2019-0002366,NULL,NULL,NULL,NULL
2019-0002370,NULL,NULL,NULL,NULL
2019-0002371,NULL,NULL,NULL,NULL
2019-0002373,NULL,NULL,NULL,NULL
2019-0002375,NULL,NULL,NULL,NULL
2019-0002379,NULL,NULL,NULL,NULL
2019-0002381,NULL,NULL,NULL,NULL
2019-0002382,Black or African American,Male,1971,48
2019-0002383,Black or African American,Male,1996,23
2019-0002385,NULL,NULL,NULL,NULL
2019-0002386,NULL,NULL,NULL,NULL
2019-0002388,NULL,NULL,NULL,NULL
2019-0002389,NULL,NULL,NULL,NULL
2019-0002394,NULL,NULL,NULL,NULL
2019-0002395,NULL,NULL,NULL,NULL
2019-0002400,NULL,NULL,NULL,NULL
2019-0002401,NULL,NULL,NULL,NULL
2019-0002403,NULL,NULL,NULL,NULL
2019-0002404,NULL,NULL,NULL,NULL
2019-0002405,NULL,NULL,NULL,NULL
2019-0002406,NULL,NULL,NULL,NULL
2019-0002409,Black or African American,Female,1991,28
2019-0002411,Black or African American,Female,NULL,NULL
2019-0002413,NULL,NULL,NULL,NULL
2019-0002418,Black or African American,Male,1993,26
2019-0002419,NULL,NULL,NULL,NULL
2019-0002421,NULL,NULL,NULL,NULL
2019-0002422,NULL,NULL,NULL,NULL
2019-0002424,NULL,NULL,NULL,NULL
2019-0002425,NULL,NULL,NULL,NULL
2019-0002426,NULL,NULL,NULL,NULL
2019-0002434,NULL,NULL,NULL,NULL
2019-0002437,Black or African American,Male,NULL,NULL
2019-0002445,NULL,NULL,NULL,NULL
2019-0002452,NULL,NULL,NULL,NULL
2019-0002455,NULL,NULL,NULL,NULL
2019-0002458,NULL,NULL,NULL,NULL
2019-0002461,NULL,NULL,NULL,NULL
2019-0002462,NULL,NULL,NULL,NULL
2019-0002466,NULL,NULL,NULL,NULL
2019-0002471,NULL,NULL,NULL,NULL
2019-0002473,NULL,NULL,NULL,NULL
2019-0002477,NULL,NULL,NULL,NULL
2019-0002478,NULL,Female,NULL,NULL
2019-0002478,NULL,NULL,NULL,NULL
2019-0002479,NULL,NULL,NULL,NULL
2019-0002480,Black or African American,Female,1984,35
2019-0002480,Black or African American,NULL,NULL,NULL
2019-0002481,NULL,NULL,NULL,NULL
2019-0002486,NULL,NULL,NULL,NULL
2019-0002489,NULL,NULL,NULL,NULL
2019-0002491,NULL,NULL,NULL,NULL
2019-0002500,Black or African American,Male,NULL,NULL
2019-0002501,NULL,NULL,NULL,NULL
2019-0002503,NULL,NULL,NULL,NULL
2019-0002510,NULL,NULL,NULL,NULL
2019-0002511,NULL,NULL,NULL,NULL
2019-0002512,White,Female,NULL,NULL
2019-0002512,White,Male,NULL,NULL
2019-0002513,Black or African American,Female,1987,32
2019-0002515,NULL,NULL,NULL,NULL
2019-0002519,Black or African American,Female,NULL,NULL
2019-0002522,White,Female,1999,20
2019-0002523,NULL,NULL,NULL,NULL
2019-0002525,NULL,NULL,NULL,NULL
2019-0002526,NULL,NULL,NULL,NULL
2019-0002528,Black or African American,NULL,NULL,NULL
2019-0002529,"Hispanic, Latino, or Spanish Origin",NULL,NULL,NULL
2019-0002529,"Hispanic, Latino, or Spanish Origin",NULL,NULL,NULL
2019-0002536,NULL,NULL,NULL,NULL
2019-0002541,NULL,NULL,NULL,NULL
2019-0002547,Black or African American,Female,2005,14
2019-0002550,NULL,NULL,NULL,NULL
2019-0002552,NULL,NULL,NULL,NULL
2019-0002552,Black or African American,Male,NULL,NULL
2019-0002554,NULL,NULL,NULL,NULL
2019-0002558,NULL,NULL,NULL,NULL
2019-0002559,NULL,NULL,NULL,NULL
2019-0002560,Black or African American,Male,1952,67
2019-0002567,Black or African American,Female,NULL,NULL
2019-0002569,NULL,NULL,NULL,NULL
2019-0002570,NULL,NULL,NULL,NULL
2019-0002574,NULL,Female,1996,23
2019-0002576,NULL,NULL,NULL,NULL
2019-0002580,NULL,NULL,NULL,NULL
2019-0002581,NULL,NULL,NULL,NULL
2019-0002582,NULL,NULL,NULL,NULL
2019-0002585,NULL,NULL,NULL,NULL
2019-0002586,NULL,NULL,NULL,NULL
2019-0002587,Black or African American,Female,NULL,NULL
2019-0002590,NULL,NULL,NULL,NULL
2019-0002595,NULL,NULL,NULL,NULL
2019-0002600,NULL,NULL,NULL,NULL
2019-0002605,NULL,NULL,NULL,NULL
2019-0002609,NULL,NULL,NULL,NULL
2019-0002612,NULL,NULL,NULL,NULL
2019-0002614,Black or African American,Male,1991,28
2019-0002615,NULL,NULL,NULL,NULL
2019-0002618,NULL,NULL,NULL,NULL
2019-0002619,Black or African American,Female,1986,33
2019-0002619,Black or African American,Female,1989,30
2019-0002620,Black or African American,Female,1986,33
2019-0002620,Black or African American,Female,1986,33
2019-0002622,NULL,NULL,NULL,NULL
2019-0002624,NULL,NULL,NULL,NULL
2019-0002625,NULL,NULL,1947,72
2019-0002626,NULL,NULL,NULL,NULL
2019-0002628,NULL,NULL,NULL,NULL
2019-0002629,NULL,NULL,NULL,NULL
2019-0002631,NULL,NULL,NULL,NULL
2019-0002635,White,Female,NULL,NULL
2019-0002639,NULL,NULL,NULL,NULL
2019-0002640,Black or African American,Female,2006,13
2019-0002641,Black or African American,Female,1994,25
2019-0002649,NULL,NULL,NULL,NULL
2019-0002659,Black or African American,NULL,NULL,NULL
2019-0002661,NULL,NULL,NULL,NULL
2019-0002664,NULL,NULL,NULL,NULL
2019-0002665,NULL,NULL,NULL,NULL
2019-0002671,NULL,NULL,NULL,NULL
2019-0002673,NULL,NULL,NULL,NULL
2019-0002673,White,Female,NULL,NULL
2019-0002673,White,Male,NULL,NULL
2019-0002673,Asian,NULL,NULL,NULL
2019-0002673,"Hispanic, Latino, or Spanish Origin",Female,NULL,NULL
2019-0002673,"Hispanic, Latino, or Spanish Origin",NULL,NULL,NULL
2019-0002676,NULL,NULL,NULL,NULL
2019-0002679,NULL,NULL,NULL,NULL
2019-0002683,Not listed,Female,1956,63
2019-0002685,NULL,NULL,NULL,NULL
2019-0002687,NULL,NULL,NULL,NULL
2019-0002689,NULL,NULL,NULL,NULL
2019-0002690,Black or African American,Female,1989,30
2019-0002693,NULL,NULL,NULL,NULL
2019-0002694,NULL,NULL,NULL,NULL
2019-0002695,NULL,NULL,NULL,NULL
2019-0002700,NULL,NULL,NULL,NULL
2019-0002701,NULL,NULL,NULL,NULL
2019-0002702,Black or African American,Female,NULL,NULL
2019-0002706,NULL,NULL,NULL,NULL
2019-0002709,NULL,NULL,NULL,NULL
2019-0002710,NULL,NULL,NULL,NULL
2019-0002711,NULL,NULL,NULL,NULL
2019-0002717,NULL,NULL,NULL,NULL
2019-0002719,White,Female,1977,42
2019-0002719,NULL,Male,1999,20
2019-0002722,NULL,NULL,NULL,NULL
2019-0002723,NULL,NULL,NULL,NULL
2019-0002724,NULL,NULL,NULL,NULL
2019-0002726,NULL,NULL,NULL,NULL
2019-0002728,NULL,NULL,NULL,NULL
2019-0002729,White,Male,2005,14
2019-0002732,"Hispanic, Latino, or Spanish Origin",Female,NULL,NULL
2019-0002733,NULL,NULL,NULL,NULL
2019-0002740,Black or African American,Male,1998,21
2019-0002744,NULL,NULL,NULL,NULL
2019-0002749,NULL,NULL,NULL,NULL
2019-0002750,NULL,NULL,NULL,NULL
2019-0002752,NULL,NULL,NULL,NULL
2019-0002753,NULL,NULL,NULL,NULL
2019-0002761,NULL,NULL,NULL,NULL
2019-0002762,NULL,NULL,NULL,NULL
2019-0002766,NULL,NULL,NULL,NULL
2019-0002767,NULL,NULL,NULL,NULL
2019-0002768,NULL,NULL,NULL,NULL
2019-0002770,NULL,NULL,NULL,NULL
2019-0002771,NULL,NULL,NULL,NULL
2019-0002776,NULL,NULL,NULL,NULL
2019-0002778,NULL,NULL,NULL,NULL
2019-0002779,Black or African American,Female,1960,59
2019-0002782,NULL,NULL,NULL,NULL
2019-0002784,NULL,NULL,NULL,NULL
2019-0002789,NULL,NULL,NULL,NULL
2019-0002790,NULL,NULL,NULL,NULL
2019-0002796,NULL,NULL,NULL,NULL
2019-0002797,NULL,NULL,NULL,NULL
2019-0002800,Black or African American,Female,1992,27
2019-0002805,NULL,NULL,NULL,NULL
2019-0002806,NULL,NULL,NULL,NULL
2019-0002807,NULL,NULL,NULL,NULL
2019-0002808,NULL,NULL,NULL,NULL
2019-0002811,NULL,NULL,NULL,NULL
2019-0002820,NULL,NULL,NULL,NULL
2019-0002824,NULL,NULL,NULL,NULL
2019-0002831,NULL,NULL,NULL,NULL
2019-0002833,NULL,Male,NULL,NULL
2019-0002834,NULL,NULL,NULL,NULL
2019-0002836,NULL,NULL,NULL,NULL
2019-0002837,NULL,NULL,NULL,NULL
2019-0002844,NULL,NULL,NULL,NULL
2019-0002848,NULL,NULL,NULL,NULL
2019-0002852,Black or African American,Female,1973,46
2019-0002852,Black or African American,NULL,1989,30
2019-0002852,Black or African American,NULL,1999,20
2019-0002862,NULL,NULL,NULL,NULL
2019-0002864,NULL,NULL,NULL,NULL
2019-0002866,Black or African American,Male,NULL,NULL
2019-0002866,Black or African American,Female,NULL,NULL
2019-0002868,NULL,NULL,NULL,NULL
2019-0002872,"Hispanic, Latino, or Spanish Origin",Male,NULL,NULL
2019-0002873,NULL,NULL,NULL,NULL
2019-0002874,NULL,NULL,NULL,NULL
2019-0002878,NULL,NULL,NULL,NULL
2019-0002880,Black or African American,Male,1986,33
2019-0002881,NULL,NULL,NULL,NULL
2019-0002884,NULL,NULL,NULL,NULL
2019-0002888,NULL,NULL,NULL,NULL
2019-0002893,NULL,NULL,NULL,NULL
2019-0002894,NULL,NULL,NULL,NULL
2019-0002896,NULL,NULL,NULL,NULL
2019-0002898,NULL,NULL,NULL,NULL
2019-0002902,NULL,NULL,NULL,NULL
2019-0002906,NULL,NULL,NULL,NULL
2019-0002909,NULL,NULL,NULL,NULL
2019-0002910,Not listed,Female,NULL,NULL
2019-0002911,NULL,Male,NULL,NULL
2019-0002912,NULL,NULL,NULL,NULL
2019-0002914,NULL,NULL,NULL,NULL
2019-0002915,NULL,NULL,NULL,NULL
2019-0002916,Black or African American,Female,1984,35
2019-0002919,NULL,NULL,NULL,NULL
2019-0002919,NULL,NULL,NULL,NULL
2019-0002921,Black or African American,Female,2009,10
2019-0002921,Black or African American,Female,1979,40
2019-0002924,NULL,NULL,NULL,NULL
2019-0002933,Black or African American,Male,NULL,NULL
2019-0002934,NULL,NULL,NULL,NULL
2019-0002942,NULL,NULL,NULL,NULL
2019-0002943,NULL,NULL,NULL,NULL
2019-0002944,NULL,NULL,NULL,NULL
2019-0002950,NULL,NULL,NULL,NULL
2019-0002952,NULL,Female,NULL,NULL
2019-0002958,NULL,NULL,NULL,NULL
2019-0002962,NULL,NULL,NULL,NULL
2019-0002964,NULL,NULL,NULL,NULL
2019-0002965,NULL,NULL,NULL,NULL
2019-0002967,NULL,NULL,NULL,NULL
2019-0002968,NULL,NULL,NULL,NULL
2019-0002969,NULL,NULL,NULL,NULL
2019-0002971,NULL,NULL,NULL,NULL
2019-0002972,Black or African American,NULL,NULL,NULL
2019-0002973,NULL,NULL,NULL,NULL
2019-0002977,NULL,NULL,NULL,NULL
2019-0002981,NULL,NULL,NULL,NULL
2019-0002983,Black or African American,Female,NULL,NULL
2019-0002984,Black or African American,Male,1994,25
2019-0002988,NULL,NULL,NULL,NULL
2019-0002992,Black or African American,Male,NULL,NULL
2019-0002994,NULL,NULL,NULL,NULL
2019-0002997,NULL,NULL,NULL,NULL
2019-0002999,NULL,NULL,NULL,NULL
2019-0003000,NULL,NULL,NULL,NULL
2019-0003004,NULL,NULL,NULL,NULL
2019-0003008,NULL,NULL,NULL,NULL
2019-0003010,NULL,NULL,NULL,NULL
2019-0003015,NULL,NULL,NULL,NULL
2019-0003017,NULL,NULL,NULL,NULL
2019-0003018,NULL,NULL,NULL,NULL
2019-0003019,NULL,NULL,NULL,NULL
2019-0003020,NULL,NULL,NULL,NULL
2019-0003022,NULL,NULL,NULL,NULL
2019-0003024,NULL,NULL,NULL,NULL
2019-0003025,NULL,NULL,NULL,NULL
2019-0003029,NULL,NULL,NULL,NULL
2019-0003030,NULL,NULL,NULL,NULL
2019-0003032,Black or African American,Male,1972,47
2019-0003032,Black or African American,Female,NULL,NULL
2019-0003032,NULL,Male,NULL,NULL
2019-0003034,NULL,NULL,NULL,NULL
2019-0003036,NULL,NULL,NULL,NULL
2019-0003037,NULL,NULL,NULL,NULL
2019-0003039,NULL,NULL,NULL,NULL
2019-0003042,NULL,NULL,NULL,NULL
2019-0003046,Black or African American,Female,1996,23
2019-0003046,Black or African American,Male,2000,19
2019-0003050,NULL,NULL,NULL,NULL
2019-0003052,NULL,NULL,NULL,NULL
2019-0003055,NULL,NULL,NULL,NULL
2019-0003056,NULL,NULL,NULL,NULL
2019-0003057,NULL,NULL,NULL,NULL
2019-0003058,NULL,NULL,NULL,NULL
2019-0003059,NULL,NULL,NULL,NULL
2019-0003060,Black or African American,Male,1979,40
2019-0003064,NULL,NULL,NULL,NULL
2019-0003066,NULL,NULL,NULL,NULL
2019-0003067,NULL,NULL,NULL,NULL
2019-0003070,NULL,NULL,NULL,NULL
2019-0003071,NULL,NULL,NULL,NULL
2019-0003072,NULL,NULL,NULL,NULL
2019-0003073,NULL,NULL,NULL,NULL
2019-0003074,NULL,NULL,NULL,NULL
2019-0003075,NULL,NULL,NULL,NULL
2019-0003076,NULL,NULL,NULL,NULL
2019-0003077,NULL,NULL,NULL,NULL
2019-0003079,NULL,NULL,NULL,NULL
2019-0003081,NULL,NULL,NULL,NULL
2019-0003085,NULL,NULL,NULL,NULL
2019-0003086,NULL,NULL,NULL,NULL
2019-0003092,NULL,NULL,NULL,NULL
2019-0003093,NULL,NULL,NULL,NULL
2019-0003095,NULL,NULL,NULL,NULL
2019-0003096,"Hispanic, Latino, or Spanish Origin",Female,1980,39
2019-0003097,NULL,NULL,NULL,NULL
2019-0003098,Not listed,Female,1990,29
2019-0003099,NULL,NULL,NULL,NULL
2019-0003101,NULL,NULL,NULL,NULL
2019-0003103,NULL,NULL,NULL,NULL
2019-0003104,NULL,NULL,NULL,NULL
2019-0003114,NULL,NULL,NULL,NULL
2019-0003116,NULL,NULL,NULL,NULL
2019-0003117,NULL,NULL,NULL,NULL
2019-0003123,NULL,NULL,NULL,NULL
2019-0003124,NULL,NULL,NULL,NULL
2019-0003125,NULL,NULL,NULL,NULL
2019-0003130,NULL,NULL,NULL,NULL
2019-0003132,NULL,NULL,NULL,NULL
2019-0003134,NULL,NULL,NULL,NULL
2019-0003136,NULL,NULL,NULL,NULL
2019-0003144,NULL,NULL,NULL,NULL
2019-0003146,NULL,NULL,NULL,NULL
2019-0003147,NULL,NULL,NULL,NULL
2019-0003150,NULL,NULL,NULL,NULL
2019-0003152,NULL,NULL,NULL,NULL
2019-0003153,NULL,NULL,NULL,NULL
2019-0003154,NULL,NULL,NULL,NULL
2019-0003155,NULL,NULL,NULL,NULL
2019-0003157,NULL,NULL,NULL,NULL
2019-0003170,Black or African American,Female,1991,28
2019-0003172,NULL,NULL,NULL,NULL
2019-0003173,NULL,NULL,NULL,NULL
2019-0003174,NULL,NULL,NULL,NULL
2019-0003178,NULL,NULL,NULL,NULL
2019-0003179,NULL,NULL,NULL,NULL
2019-0003180,White,Female,1986,33
2019-0003180,Black or African American,Male,1985,34
2019-0003181,NULL,NULL,NULL,NULL
2019-0003186,NULL,NULL,NULL,NULL
2019-0003190,NULL,NULL,NULL,NULL
2019-0003193,NULL,NULL,NULL,NULL
2019-0003194,NULL,NULL,NULL,NULL
2019-0003197,NULL,NULL,NULL,NULL
2019-0003201,NULL,NULL,NULL,NULL
2019-0003202,NULL,Female,NULL,NULL
2019-0003202,NULL,Female,NULL,NULL
2019-0003206,NULL,NULL,NULL,NULL
2019-0003207,NULL,NULL,NULL,NULL
2019-0003208,NULL,NULL,NULL,NULL
2019-0003209,White,NULL,1964,55
2019-0003212,NULL,NULL,NULL,NULL
2019-0003213,NULL,NULL,NULL,NULL
2019-0003220,NULL,NULL,NULL,NULL
2019-0003225,NULL,NULL,NULL,NULL
2019-0003227,NULL,NULL,NULL,NULL
2019-0003229,NULL,NULL,NULL,NULL
2019-0003230,NULL,NULL,NULL,NULL
2019-0003232,NULL,NULL,NULL,NULL
2019-0003233,NULL,NULL,NULL,NULL
2019-0003235,NULL,NULL,NULL,NULL
2019-0003236,NULL,NULL,NULL,NULL
2019-0003237,NULL,NULL,NULL,NULL
2019-0003238,NULL,NULL,NULL,NULL
2019-0003239,NULL,NULL,NULL,NULL
2019-0003240,NULL,NULL,NULL,NULL
2019-0003244,NULL,NULL,NULL,NULL
2019-0003246,NULL,NULL,NULL,NULL
2019-0003247,NULL,NULL,NULL,NULL
2019-0003248,Black or African American,Female,1982,37
2019-0003253,"Hispanic, Latino, or Spanish origin",Male,NULL,NULL
2019-0003262,NULL,NULL,NULL,NULL
2019-0003263,NULL,NULL,NULL,NULL
2019-0003265,NULL,NULL,NULL,NULL
2019-0003272,NULL,NULL,NULL,NULL
2019-0003273,NULL,NULL,NULL,NULL
2019-0003283,NULL,NULL,NULL,NULL
2019-0003290,Black or African American,Male,1995,24
2019-0003295,NULL,NULL,NULL,NULL
2019-0003297,NULL,NULL,NULL,NULL
2019-0003300,NULL,NULL,1988,31
2019-0003301,NULL,NULL,NULL,NULL
2019-0003310,NULL,NULL,NULL,NULL
2019-0003311,NULL,NULL,NULL,NULL
2019-0003313,NULL,NULL,NULL,NULL
2019-0003314,NULL,NULL,NULL,NULL
2019-0003316,NULL,NULL,NULL,NULL
2019-0003317,NULL,NULL,NULL,NULL
2019-0003318,NULL,NULL,NULL,NULL
2019-0003325,NULL,NULL,NULL,NULL
2019-0003326,NULL,NULL,NULL,NULL
2019-0003328,Black or African American,Female,1985,34
2019-0003328,Black or African American,NULL,1991,28
2019-0003329,NULL,NULL,NULL,NULL
2019-0003331,NULL,NULL,NULL,NULL
2019-0003333,NULL,NULL,NULL,NULL
2019-0003335,NULL,NULL,NULL,NULL
2019-0003339,NULL,NULL,NULL,NULL
2019-0003345,NULL,NULL,NULL,NULL
2019-0003350,NULL,NULL,NULL,NULL
